,long,lat
2111,-73.63090393,45.49999588
2148,-73.63522237,45.49351458
2170,-73.63858976,45.49441327
2202,-73.63831125,45.49488667
2225,-73.64095118,45.49546068
2249,-73.63331489,45.49878802
2324,-73.65152931,45.49602943
2340,-73.64888343,45.4986007
2409,-73.65854923,45.49984469
2456,-73.63009002,45.48216903
2495,-73.6324067,45.4845547
2507,-73.63163381,45.48522607
2510,-73.63158575,45.48139683
2584,-73.62761952,45.48590947
2588,-73.63651956,45.48741164
2735,-73.62543174,45.47231215
2746,-73.62420913,45.47362771
2762,-73.62348352,45.47448992
2814,-73.62158657,45.47648539
2832,-73.61857189,45.46937391
2981,-73.5976927,45.4502167
2996,-73.59505646,45.45102024
3007,-73.59637503,45.45046348
3021,-73.60252123,45.44931991
3110,-73.58854825,45.45838103
3162,-73.5616539,45.47435808
3175,-73.56208966,45.48263356
3235,-73.5731578,45.47891487
3279,-73.58624898,45.49601945
3318,-73.5811326,45.49303535
3321,-73.58616628,45.49062251
3335,-73.58118732,45.48855615
3363,-73.56373008,45.51686559
3370,-73.56393085,45.51817735
3408,-73.56008282,45.51675904
3512,-73.56495978,45.50900478
3615,-73.56142504,45.51221899
3634,-73.56043986,45.51346472
3637,-73.56076495,45.51370381
3645,-73.56146087,45.50856129
3687,-73.56001409,45.50749638
3798,-73.55591871,45.51185477
3800,-73.55626559,45.51202341
3804,-73.55650431,45.51217447
3811,-73.55738278,45.51253037
3816,-73.5566239,45.51490714
3818,-73.55648179,45.51294717
3851,-73.55908187,45.50805774
3886,-73.63104407,45.49179094
3888,-73.6300836,45.50016833
3893,-73.63157483,45.50126821
3902,-73.62738475,45.49911964
3932,-73.6350632,45.50239542
3991,-73.53727536,45.54583751
4048,-73.56083719,45.52336842
4077,-73.5605804,45.52457047
4119,-73.557908,45.53157585
4138,-73.55925316,45.52640792
4258,-73.55480818,45.5168659
4285,-73.55310821,45.52375822
4291,-73.55068812,45.52403269
4294,-73.55310448,45.52427878
4346,-73.55430203,45.53357832
4441,-73.54888017,45.55193762
4529,-73.55986684,45.54121507
4547,-73.56927941,45.54212678
4550,-73.56463126,45.54176093
4562,-73.55879963,45.55568094
4564,-73.55694119,45.55499252
4647,-73.5726197,45.55246337
4738,-73.58748147,45.5533033
4756,-73.59418402,45.55668819
4766,-73.58884671,45.56284121
4767,-73.58882243,45.56287911
4777,-73.58516941,45.54815394
4798,-73.58977843,45.55136282
4801,-73.58948226,45.5516447
4805,-73.59106091,45.54989534
4822,-73.58621423,45.55538621
4823,-73.58615748,45.55546517
4853,-73.58621424,45.55471934
