,long,lat
4527,-73.55936832,45.54095123
4554,-73.56426624,45.55169857
4598,-73.57434179,45.55000814
4615,-73.57660531,45.54366685
4621,-73.57617521,45.55166677
4630,-73.57433679,45.55544468
4673,-73.5703754,45.55647075
4695,-73.56903342,45.55782078
4719,-73.59247331,45.55881149
4764,-73.59331229,45.55786949
4778,-73.58538912,45.5478652
4779,-73.58540603,45.54778501
4833,-73.58505674,45.55623634
4836,-73.58394493,45.55803027
4840,-73.58747635,45.55421646
4866,-73.5850682,45.54830249
4929,-73.59518014,45.54446453
4991,-73.59588921,45.54988662
5048,-73.59268918,45.54730278
5050,-73.59304724,45.54752601
5097,-73.58731384,45.54480466
5263,-73.56489728,45.53846089
5275,-73.56575843,45.53102684
5276,-73.56554068,45.53127118
5325,-73.58675105,45.51909328
5426,-73.57808737,45.5181726
5457,-73.58074256,45.51840939
5500,-73.57252855,45.51903211
5597,-73.57731026,45.5230113
5605,-73.57705949,45.52329303
5624,-73.57613372,45.52425153
5715,-73.56990128,45.52169484
5730,-73.57311945,45.5240038
5834,-73.59096303,45.53009945
5849,-73.58457766,45.53290294
6027,-73.58545332,45.52743262
6112,-73.59864557,45.52037634
6122,-73.59832447,45.52041342
6136,-73.59743382,45.52004605
6160,-73.59002978,45.52653125
6175,-73.59537524,45.5244301
6218,-73.59560003,45.52246664
6265,-73.59489574,45.51950559
6352,-73.59019175,45.52038062
6386,-73.58975831,45.51674417
6414,-73.58912794,45.52194196
6426,-73.58639353,45.52485846
6609,-73.60507925,45.52321058
6611,-73.60498354,45.52316604
6648,-73.60326312,45.5223501
6665,-73.60249813,45.5225618
6700,-73.60292765,45.52749812
6778,-73.61516597,45.55328846
6912,-73.60555745,45.5616393
6923,-73.6029399,45.54726763
6937,-73.60112386,45.54944443
6945,-73.60146115,45.55390255
6950,-73.60188097,45.55423925
7057,-73.62720204,45.52617025
7059,-73.6271657,45.52623049
7065,-73.63118516,45.52703391
7071,-73.63016528,45.52778014
7088,-73.62966166,45.52873563
7089,-73.63013951,45.52876397
7104,-73.62945945,45.52982727
7105,-73.6290447,45.52985033
7125,-73.62785903,45.5250952
7135,-73.62697045,45.52582578
7152,-73.62428608,45.52641813
7160,-73.62534303,45.52850208
7163,-73.62524618,45.52864859
7165,-73.62528133,45.52873709
7168,-73.62522967,45.52882345
7170,-73.62495264,45.52912061
7175,-73.62483582,45.52943631
7198,-73.62495262,45.52529143
7210,-73.62536297,45.525722
7215,-73.62476376,45.52655339
7231,-73.62410927,45.5268758
7234,-73.62393134,45.52699936
7237,-73.62386935,45.52710444
7286,-73.62267361,45.52914827
7297,-73.62294096,45.53092652
7321,-73.64353281,45.52980416
7327,-73.64354005,45.53068824
7336,-73.63676812,45.52999611
7344,-73.63596258,45.53138211
7347,-73.63579229,45.53164416
7348,-73.63551777,45.53120744
7350,-73.63665969,45.53026691
7352,-73.63528289,45.53160103
7359,-73.63630599,45.53075955
7374,-73.6428703,45.53102823
7375,-73.64280398,45.53107762
7377,-73.64314297,45.53131655
7378,-73.64321561,45.53133734
7390,-73.64282099,45.53188017
7392,-73.64286269,45.53196416
7399,-73.64208175,45.53239328
7410,-73.61591486,45.52774465
7432,-73.61905018,45.53360289
7492,-73.61325215,45.53808557
7501,-73.61308494,45.53994588
7532,-73.6112959,45.53757476
7603,-73.59645557,45.53253261
7615,-73.60818418,45.53083283
7671,-73.60856617,45.53054308
7809,-73.60191014,45.53281501
7880,-73.63021071,45.54047636
7907,-73.62677764,45.53778413
7909,-73.62605035,45.54145051
7973,-73.62331851,45.53994546
8030,-73.61798545,45.53832364
8130,-73.63901352,45.54093867
8142,-73.63582804,45.54393797
8144,-73.63565863,45.54426436
8180,-73.62869634,45.54298574
8280,-73.61355758,45.5403947
8339,-73.62777746,45.54436227
8348,-73.6275093,45.54469991
8377,-73.62668436,45.54568021
8434,-73.61595601,45.55001127
8450,-73.62064922,45.54390912
8472,-73.62284001,45.54136673
