,ID,ORIGINE,T_COMMERCE,DATE_CREATION,CIVIQUE,TYPE_VOIE,LIEN_VOIE,NOM_VOIE,ORIENTATION,ADRESSE,SUITE,CODE_POST,ETAGE,NOM_CENTRE,NOM_ETAB_2023,ID_USAGE1,USAGE1,ID_USAGE2,USAGE2,ID_USAGE3,USAGE3,SCIAN,SITEWEB,ACCES_MOBILITE_REDUITE,VACANT_A_LOUER,A_LOUER_CONTACT,A_LOUER_TELEPHONE,ARRONDISSEMENT,QUARTIER,SDC_NOM,SECTEUR_PME,ENFANT,MULTIUSAGE,MULTIOCCUPANT,COORDY,COORDX,LAT,LONG
196,{a83bee0e-5c11-4674-bace-8229d076fb30},HORS_SDC,Commerce rue,2023/06/13,7880,rue,,Sherbrooke,E,7880 rue Sherbrooke E,,H1L1A5,RC,,BRASSERIE BAR CHAMPLAIN (SALON DE DIVERTISSEMENT V.I.P),D,"Restauration, divertissement et hôtellerie",21,Débits de boisson,90,"Bar, Bistro, Pub, Salles de billard",722410.0,,Accès au niveau du sol,Non,,,Mercier–Hochelaga-Maisonneuve,Tétreaultville,,Centre-Est,Non,Non,Non,5050651.69,302100.9,45.59577374775556,-73.53459748044341
212,{fdb94a61-57b3-45ce-bdc2-093cb7abfc8b},HORS_SDC,Commerce rue,2023/06/07,7737,rue,,Hochelaga,,7737 rue Hochelaga ,,H1L2K4,RC,,Bellepro's,D,"Restauration, divertissement et hôtellerie",49,Restauration,121,"Restaurants rapides, Cantines",722512.0,https://belle-pros.business.site/,Accès au niveau du sol,Non,,,Mercier–Hochelaga-Maisonneuve,Tétreaultville,,Centre-Est,Non,Non,Non,5050171.78,302783.61,45.5914576947639,-73.52584478457227
215,{df739c15-15fe-4e70-a5ac-4f3514c39f44},HORS_SDC,Commerce rue,2023/06/07,7953,rue,,Hochelaga,,7953 rue Hochelaga ,,H1L2K9,RC,,COQ-O-BEC,D,"Restauration, divertissement et hôtellerie",49,Restauration,121,"Restaurants rapides, Cantines",722512.0,www.coq-o-bec.online,Accès au niveau du sol,Non,,,Mercier–Hochelaga-Maisonneuve,Tétreaultville,,Centre-Est,Non,Non,Non,5050404.22,302855.4,45.59354946163663,-73.5249256045014
222,{5cee7168-e048-46fa-bbcb-0ac0b05264da},HORS_SDC,Commerce rue,2023/06/13,8604,rue,,Sherbrooke,E,8604 rue Sherbrooke E,,H1L1B7,RC,,Pizza Hut,D,"Restauration, divertissement et hôtellerie",49,Restauration,121,"Restaurants rapides, Cantines",722512.0,,Non,Non,,,Mercier–Hochelaga-Maisonneuve,Tétreaultville,,Centre-Est,Non,Non,Non,5051492.47,302423.94,45.60334049885533,-73.53046097231585
223,{d3e3a0b7-ecdc-44d6-a262-793a58ba296e},HORS_SDC,Commerce rue,2023/06/13,8630,rue,,Sherbrooke,E,8630 rue Sherbrooke E,,H1L1B7,RC,,Phoenix oriental,D,"Restauration, divertissement et hôtellerie",49,Restauration,120,Restaurants,722511.0,,Non,Non,,,Mercier–Hochelaga-Maisonneuve,Tétreaultville,,Centre-Est,Non,Non,Non,5051503.08,302426.31,45.603435978616766,-73.53043064210738
225,{b8e08b4a-2bde-4630-bcb0-1ae82e14e047},HORS_SDC,Commerce rue,2023/06/13,8660,rue,,Sherbrooke,E,8660 rue Sherbrooke E,,H1L1B7,RC,,La Belle Province,D,"Restauration, divertissement et hôtellerie",49,Restauration,121,"Restaurants rapides, Cantines",722512.0,,Accès au niveau du sol,Non,,,Mercier–Hochelaga-Maisonneuve,Tétreaultville,,Centre-Est,Non,Non,Non,5051531.16,302441.1,45.603688700432826,-73.5302411795578
226,{f4e82368-7003-4a9e-b369-4b86f1c29b1d},HORS_SDC,Commerce rue,2023/06/13,8670,rue,,Sherbrooke,E,8670 rue Sherbrooke E,,H1L1B9,RC,,Chez Ozzo BBQ,D,"Restauration, divertissement et hôtellerie",49,Restauration,120,Restaurants,722511.0,,Accès au niveau du sol,Non,,,Mercier–Hochelaga-Maisonneuve,Tétreaultville,,Centre-Est,Non,Non,Non,5051558.26,302447.49,45.6039325752381,-73.53015939416211
229,{e4e1d416-36ba-4512-9798-d1ea4cee0641},HORS_SDC,Commerce rue,2023/06/07,7969,rue,,Hochelaga,,7969 rue Hochelaga ,,H1L2K9,RC,,Kawa et garo,D,"Restauration, divertissement et hôtellerie",49,Restauration,120,Restaurants,722511.0,,Accès au niveau du sol,Non,,,Mercier–Hochelaga-Maisonneuve,Tétreaultville,,Centre-Est,Non,Non,Non,5050430.7,302864.25,45.59378776098803,-73.52481227810546
254,{69b9d918-08fa-4edf-9353-381518818b55},HORS_SDC,Commerce rue,2023/06/13,9100,rue,,Sherbrooke,E,9100 rue Sherbrooke E,,H1L1E3,RC,,Le Petit Québec,D,"Restauration, divertissement et hôtellerie",49,Restauration,121,"Restaurants rapides, Cantines",722512.0,,Accès au niveau du sol,Non,,,Mercier–Hochelaga-Maisonneuve,Tétreaultville,,Centre-Est,Non,Non,Non,5052065.44,302662.2,45.60849701013981,-73.5274091480087
257,{72299700-ca89-4701-be6e-da0b9d44bcd2},HORS_SDC,Commerce rue,2023/06/13,9194,rue,,Sherbrooke,E,9194 rue Sherbrooke E,,H1L4H8,RC,,Restaurant Super Délicieux,D,"Restauration, divertissement et hôtellerie",49,Restauration,120,Restaurants,722511.0,,Accès au niveau du sol,Non,,,Mercier–Hochelaga-Maisonneuve,Tétreaultville,,Centre-Est,Non,Non,Non,5052118.05,302723.55,45.6089705948108,-73.52662283357783
